Names,Min Weight,Max Weight
BTC,0.157,0.0
BNB,0.012,0.0
SOL,0.013,0.0
XRP,0.011,0.0
DOGE,0.052,0.0
ADA,0.001,0.0
SHIB,0.0,0.0
AVAX,0.0,0.0
TRX,0.001,0.0
DOT,0.0,0.0
LINK,0.0,0.0
BCH,0.0,0.0
NEAR,0.015,0.0
MATIC,0.046,0.0
UNI,0.05,0.0
LTC,0.012,0.0
PEPE,0.018,0.675
ICP,0.003,0.0
ETC,0.227,0.0
APT,0.004,0.0
RNDR,0.0,0.0
STX,0.009,0.0
XMR,0.0,0.0
HBAR,0.007,0.0
FIL,0.011,0.0
ATOM,0.0,0.0
INJ,0.015,0.0
XLM,0.0,0.0
IMX,0.022,0.0
ARB,0.128,0.0
WIF,0.001,0.0
TAO,0.0,0.325
GRT,0.016,0.0
SUI,0.0,0.0
OP,0.08,0.0
AR,0.013,0.0
VET,0.009,0.0
MKR,0.067,0.0
